IP_Address,Port_Number,File_Name,TimeStamp,File_Hash,Type
127.0.0.1,49951,Virus.exe,47:03.0,085f52a5fc72ac5f0b3b3a135aa63495,Virus File
127.0.0.1,57859,Normal.exe,01:27.2,19be9a044d70ab63cb0ab95b7c388b49,Normal File
127.0.0.1,51497,Virus.exe,32:00.3,085f52a5fc72ac5f0b3b3a135aa63495,Virus File
127.0.0.1,55086,ping.txt,52:47.4,f8402e8dd0f4817fa869d3375cadd809,DDoS Attack File
127.0.0.1,49743,av1.vbs,56:12.4,e8e1593879615e8c42dbc10b81f896f7,AV Evasion File
127.0.0.1,51968,Normal.exe,16:54.9,19be9a044d70ab63cb0ab95b7c388b49,Normal File
127.0.0.1,60815,send.txt,43:43.5,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,56456,Dos.exe,46:33.8,0941f84fd63206002d812476b5e1a77a,DOS File
127.0.0.1,54700,av1.vbs,51:35.6,e8e1593879615e8c42dbc10b81f896f7,AV Evasion File
127.0.0.1,59017,Virus.exe,03:12.8,085f52a5fc72ac5f0b3b3a135aa63495,Virus File (Signature Detected)
127.0.0.1,59017,Virus.exe,03:12.8,085f52a5fc72ac5f0b3b3a135aa63495,Virus File (Signature Detected)
DoS Attack (Signature Detected),,,,,
Virus File (Signature Detected),,,,,
127.0.0.1,59017,Virus.exe,03:12.8,085f52a5fc72ac5f0b3b3a135aa63495,Virus File (Signature Detected)
DoS Attack (Signature Detected),,,,,
Virus File (Signature Detected),,,,,
,Normal File,,,,
127.0.0.1,59017,Virus.exe,03:13.0,085f52a5fc72ac5f0b3b3a135aa63495,Virus File (Signature Detected)
DoS Attack (Signature Detected),,,,,
Virus File (Signature Detected),,,,,
,Normal File,,,,
,Virus File (Signature Detected),,,,
127.0.0.1,59017,Virus.exe,03:13.0,085f52a5fc72ac5f0b3b3a135aa63495,Virus File (Signature Detected)
DoS Attack (Signature Detected),,,,,
Virus File (Signature Detected),,,,,
,Normal File,,,,
,Virus File (Signature Detected),,,,
127.0.0.1,59017,Virus.exe,28-03-2026 12:03,085f52a5fc72ac5f0b3b3a135aa63495,Virus File (Signature Detected)
DoS Attack (Signature Detected),,,,,
Virus File (Signature Detected),,,,,
,Normal File,,,,
,Virus File (Signature Detected),,,,
,Normal File,,,,
127.0.0.1,59017,Virus.exe,28-03-2026 12:03,085f52a5fc72ac5f0b3b3a135aa63495,Virus File (Signature Detected)
DoS Attack (Signature Detected),,,,,
Virus File (Signature Detected),,,,,
,Normal File,,,,
,Virus File (Signature Detected),,,,
,Normal File,,,,
,Virus File (Signature Detected),,,,
127.0.0.1,53476,Virus.exe,02-04-2026 10:34,085f52a5fc72ac5f0b3b3a135aa63495,Virus File
127.0.0.1,63293,Virus.exe,02-04-2026 11:46,085f52a5fc72ac5f0b3b3a135aa63495,Virus File
127.0.0.1,51303,Virus.exe,02-04-2026 11:50,085f52a5fc72ac5f0b3b3a135aa63495,Virus File
127.0.0.1,58154,MIME.exe,02-04-2026 11:56,91f0a740a54c5e44645802e17cee1daa,Anomaly Detected
127.0.0.1,58160,MIME.exe,02-04-2026 11:57,91f0a740a54c5e44645802e17cee1daa,Anomaly Detected
127.0.0.1,61826,Virus.exe,11-04-2026 11:47,085f52a5fc72ac5f0b3b3a135aa63495,Virus File
